,name,area,latest_version,latest_dataset_id,project_id_str
2,Olympia,89.23301090078698,1.8,145889c3-1217-4d22-a4de-667852422c90,6710cd53a53ef4a7b1664c3c
3,Kent,88.46798991220844,1.8,60cad916-f666-4576-b584-8a989bdcbc4f,6710cd850db128e83e5c5403
4,Vancouver,168.07574504257266,1.9,3e6f57bb-8be6-48d1-bce1-93933dfa41bd,6710cddc5b460693a82b3052
6,Yakima,74.05329378622694,1.7,8b785fa4-aed0-423c-b712-8ffb278dc09c,6710ce68b614351b1fcfc313
7,Kirkland,53.09467756468736,1.5,823ac0a3-02d5-4e6a-920e-ecc6bf62351f,6710ce8cee1bdb67337dfa55
8,Lacey,49.142354186862654,1.6,54fd8187-5bd2-487b-87f6-b6cf210d9e76,6710cea693286387c1458603
9,Marysville,54.14884858148536,1.5,3252e2d0-02b9-45e8-a506-07ad5a76ee41,6710cf010b2fb6879ba3e805
13,Bainbridge Island,168.71263927561046,2.0,f3426aa6-52ce-4608-85d3-bd84cc220fbb,67113d72c54e219fb4275e94
16,West Richland,57.367623173271674,1.5,9cea3a03-4ffc-440a-8531-bd51d9ec52c8,6720940de3b99e266c974b79
17,Moses Lake,49.79,1.5,d21f582b-0e06-4eba-b838-665326420a03,672094974ffbcff3f849e57d
18,Puyallup,37.546268307507965,1.5,cadc1473-2034-490a-ae29-02052e92146d,6720950495095207cae76987
27,Snohomish UnIncorporated 4,186.95862357379653,2.1,3f599767-8b4a-4f4e-8d99-c84a1a76a7d3,674e97b38caf21f9d6c9f5e5
31,Des Moines,16.597269113186783,1.5,f3219df9-658e-49ba-9318-e8da1d9dfd5b,674567ceca44f6983f52c93d
42,Snohomish,9.396562943472475,1.5,9bb5292e-ada1-4a48-a9aa-b0b8e09599aa,67457c2071ef70d5f1e29c59
44,Mills Creek,11.97387341373358,1.5,667fd12a-a7db-448d-9224-2726ed48eb1a,674579f0574929ba9d8e979b
48,Mercer Island,16.49995737716607,1.6,f33af242-c6d7-4382-9c9b-8d1fb36b9e07,67456c2b3a527477dc712629
57,Ferndale,18.87059739557884,1.5,580eff59-9196-477d-8e08-16812af390fc,67407e57b9faac918785a35b
88,Ferry County,9.509561238771953,1.8,7dfd5767-01ee-4cec-816d-2397922e8007,6762c23bc5ea03428d2cf7d9
89,Adams County,24.166383552404053,1.7,9545f774-09d9-4890-9a4b-0af1957bd4be,6763ef5ec5ea03428d2cf7de
90,Jefferson County,21.10188766680205,2.1,184fd429-87a4-4dff-8722-5001476ae056,6763efe3c5ea03428d2cf7e7
91,Lincoln County,18.63805803612235,1.5,b20e5ca8-4047-48d3-8655-05bdf52311e9,6763f02fc5ea03428d2cf7ea
94,Asotin County,16.604458700328635,1.9,e5b2c63a-0cae-4374-9fbb-ec0e125c3cbd,67650e2bc5ea03428d2cf840
95,Columbia County,3.290186517863313,1.5,2c39c71c-c12f-4ca6-9aee-3e148531ff43,67650e4dc5ea03428d2cf841
96,Garfield County,3.4021752240024736,1.8,515c3e8d-f4a7-408b-9d32-9dad17db2e02,67650e6dc5ea03428d2cf842
97,Klickitat County,17.32563755472745,1.7,95ec75a2-899f-45c6-a72d-c4d548b58a50,67650e8fc5ea03428d2cf843
98,Pend Orielle County,8.087061069619288,1.9,4653ffbf-ceff-4e12-b1de-1ab736aa1402,67650eb0c5ea03428d2cf844
99,San Juan County,13.549380446670384,1.8,fab745c9-ad59-443e-9b5b-2e7ce0d443b8,67650ed1c5ea03428d2cf845
100,Wahkiakum County,2.9500751833011907,1.9,f03ee7fc-022d-4a3e-95c3-6df45a9655c5,67650f0fc5ea03428d2cf847
110,Orting Carbonado,7.838936491289369,1.5,268e863c-088a-4bb7-9f2e-df55ccd03b7d,676e76c4314f2daca3efbedb
111,Mukilteo_City,16.270144607329993,1.4,0c5d7273-e7e1-476a-814c-f2d4b1673398,676e7792314f2daca3efbedd
117,Mason County,18.60897356702657,1.8,941ffd13-95e4-4cef-b56d-e730dccfd37e,6769a797240fb977b2897ae2
118,Skamania County,22.128775181369935,1.9,5678ed34-d9e7-44dc-b6c1-2061de4f056f,67650eefc5ea03428d2cf846
119,Sedro Woolley Plus,34.84352259578065,1.4,9bc13cf6-4d68-4595-9107-9d01e8ff55de,67725517314f2daca3efbfe5
141,Elma City Plus,16.330882693088977,1.5,cecf642e-48b2-4c2c-a050-a8ea1ee16def,677e3a5ecc47ef650955a873
151,Cashmere City Plus,9.755863565702558,1.6,51670d89-43f6-4a0c-ba73-5f53bdb860d8,677e3bafcc47ef650955a887
169,Pe Ell,1.507787883809534,1.5,60e8176b-f114-438c-b9eb-dbd6c2225db9,6788e6631cd6a8849ca9e700
182,Electric City Grand Coulee Dam Elemer,12.8660429310399,1.4,39514153-2012-4277-b125-01f9479ff363,6788e8771cd6a8849ca9e71a
196,Oakesdale,2.6928659981602596,1.5,17ca40fe-fe84-4a49-9783-930818ed5d75,678a44ff191c2e804ea830c7
215,Waverly City,1.0512879361483156,1.5,a6584712-6c6c-4576-8a7b-c508c57c2325,678e410d191c2e804ea8329c
216,Spangle City,0.9248906537285384,1.4,4f1ce38e-fc96-4dd7-a7fb-717464a783b8,678e4110191c2e804ea8329e
231,North Bend City,11.546765817674219,1.5,b1fd79a7-9181-4d07-9329-3d9c82307b76,6797b810ecb81153f834236a
232,Snoqualmie City,19.123382977191262,1.7,30b9529c-39f1-4d26-bcd5-06649bcb67d7,6797b819ecb81153f834236c
233,Kittitas City,1.9213254226750642,1.7,78b80289-0a3c-4245-8a2e-df1fa06b1e9c,6797b81decb81153f834236e
234,Lake Forest Park City,9.2297483139602,1.7,4b6012cf-4580-4d09-a1e9-8ff1a7711643,6797b820ecb81153f8342370
235,Woodinville City,14.662540494323155,1.5,9b66d568-3699-4650-bb1d-67e0c87d5451,6797b824ecb81153f8342372
236,Naches City,2.2440582050684608,1.5,6e05b03b-86df-4257-92a4-96c0f29308f1,6797b828ecb81153f8342374
237,Leavenworth City,3.6062314189599984,1.8,ae840785-06ce-44d6-93c2-f66324e6275b,6797b82cecb81153f8342376
238,Mattawa City,2.6004021698083255,1.7,8fe95ded-0acd-4e24-893c-8c308a99ab94,6797b82fecb81153f8342378
239,Wilson Creek City,2.601636678588091,1.7,bb3ef8fe-5ee6-4a54-8109-ed47df4b06c2,6797b832ecb81153f834237a
243,Harrah City,0.7171910694372552,1.4,44e1d45a-d316-4697-beb9-4b2f22408bde,6797b83fecb81153f8342382
260,Island UI,47.014196794876504,1.7,b7a25d7b-115a-4cf0-86c9-926e6b73cc9c,67a34fbcecb81153f834255e
261,Kitsap UI,4.114895595719417,1.8,56d15dcb-8a3e-4431-b44b-2d53c0ddf67d,67a34ff4ecb81153f8342561
262,Skagit UI,55.81880928064713,1.8,91f2a4f3-b44e-4c6e-8d73-84cc9a3b685d,67a3504decb81153f8342564
264,Yakima UI,82.55503771672286,1.9,1374b359-7a56-475b-891b-f45201947e25,67a5dd61ecb81153f83425c9
